country,track.id,track name,popularity,date
Chile,3gOI5aQD4mOMLsP3aWrkon,TUS GAFITAS,71.0,2023-02-28
Chile,7BFa8ACKFI2vvbn6Su16JY,Na Na Na - Remix,70.0,2023-02-28
Chile,2sgRUvRB8dCGpqxmbOrsMO,DEBI LLEVARTE FLORES,69.0,2023-02-28
Chile,1DmPVoJJgSAMHEMamRV4DH,PA K TE ENAMORE,68.0,2023-02-28
Chile,6OsU20ogLqpSbNGAbMY9se,Lealtad,67.0,2023-02-28
Chile,6Vn1vje8yMw2OY6IOk9dkH,GATÚBELA,65.0,2023-02-28
Chile,3HqcNJdZ2seoGxhn0wVNDK,PROVENZA,64.0,2023-02-28
Chile,6YNzvCsLwAJ4xZjdK9qk3r,"Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix",63.0,2023-02-28
Chile,447CO62bX92cmh13R0DAnk,Ya No Pienso en Ti,62.0,2023-02-28
Chile,6sOSd3PYqy3UnSXF5r0MvN,SHERATON,53.0,2023-02-28
Colombia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Colombia,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28
Colombia,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28
Colombia,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28
Colombia,4Dvkj6JhhA12EX05fT7y2e,As It Was,89.0,2023-02-28
Colombia,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,88.0,2023-02-28
Colombia,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,87.0,2023-02-28
Colombia,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,85.0,2023-02-28
Colombia,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,84.0,2023-02-28
Colombia,4WiQA1AGWHFvaxBU6bHghs,PUNTO G,81.0,2023-02-28
Colombia,69Ej1xrGjOcHvIMtMKxK0G,Dile,80.0,2023-02-28
Colombia,3PpWCS95gDUDRPko3u1MZ9,Prohibidox,79.0,2023-02-28
Colombia,1sbNEFiURUYfy024cJX8JG,Ferxxo 100,78.0,2023-02-28
Colombia,3KZCP2StVGdWkOKyRZNWA4,Es un Secreto,77.0,2023-02-28
Colombia,7FlQk2gJ6TBrHHiidvdR2O,MAMIII,76.0,2023-02-28
Colombia,4TFNKnMWjcMWzpkSwQrrcu,Le Pido a DIOS,75.0,2023-02-28
Colombia,1JpzJfxjHGFUyTHXLZidok,Monastery,74.0,2023-02-28
Colombia,6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,72.0,2023-02-28
Colombia,48UX3JH23V6syy4kAkGfhn,S.E.X.O,71.0,2023-02-28
Colombia,1dw7qShk971xMD6r6mA4VN,PERO TÚ,70.0,2023-02-28
Colombia,3CNbrXrUrEARw8zeKNCdYo,GUCCI LOS PAÑOS,69.0,2023-02-28
Colombia,6lV9cTvioGWqRXSgfjAUGL,Mojando Asientos (feat. Feid),68.0,2023-02-28
Colombia,6KCvMsAiL6WseKEFsWoPgc,MERCURIO,67.0,2023-02-28
Colombia,1JXcB149QtbcIpDUA6YZOB,Algo Que Se Quede,66.0,2023-02-28
Colombia,3goYw6YHoCjA1sfBzpdgzH,CAROLINA,65.0,2023-02-28
Colombia,44Gd0fsaqfM814xSWqgTe4,AP,64.0,2023-02-28
Costa Rica,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Costa Rica,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28
Costa Rica,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28
Costa Rica,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28
Costa Rica,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,89.0,2023-02-28
Costa Rica,54ELExv56KCAB4UP9cOCzC,Gato de Noche,88.0,2023-02-28
Costa Rica,6Um358vY92UBv5DloTRX9L,Que Vuelvas,87.0,2023-02-28
Costa Rica,6G12ZafqofSq7YtrMqUm76,Monotonía,86.0,2023-02-28
Costa Rica,6Xom58OOXk2SoU711L2IXO,Moscow Mule,85.0,2023-02-28
Costa Rica,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,84.0,2023-02-28
Costa Rica,7oDd86yk8itslrA9HRP2ki,Die For You - Remix,82.0,2023-02-28
Costa Rica,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28
Costa Rica,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28
Costa Rica,6mmPpaltUZK7xjNlBPQQ0p,Desesperados,79.0,2023-02-28
Costa Rica,0UXlu64mDLvfzR8IXMz06J,Ya No Somos Ni Seremos,78.0,2023-02-28
Costa Rica,4H6o1bxKRGzmsE0vzo968m,Qué Agonía,77.0,2023-02-28
Costa Rica,2lmWwBLVJ2P0HX491zkYws,Mbappe,76.0,2023-02-28
Costa Rica,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,75.0,2023-02-28
Costa Rica,38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),74.0,2023-02-28
Costa Rica,6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,72.0,2023-02-28
Costa Rica,3gOI5aQD4mOMLsP3aWrkon,TUS GAFITAS,71.0,2023-02-28
Costa Rica,1dw7qShk971xMD6r6mA4VN,PERO TÚ,70.0,2023-02-28
Costa Rica,3CNbrXrUrEARw8zeKNCdYo,GUCCI LOS PAÑOS,69.0,2023-02-28
Costa Rica,5yAIrkplUEpMNeojW8Q30o,OJOS FERRARI,68.0,2023-02-28
Costa Rica,6KCvMsAiL6WseKEFsWoPgc,MERCURIO,67.0,2023-02-28
Costa Rica,6Vn1vje8yMw2OY6IOk9dkH,GATÚBELA,65.0,2023-02-28
Costa Rica,16dUQ4quIHDe4ZZ0wF1EMN,CAIRO,64.0,2023-02-28
Denmark,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
