country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Nicaragua,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Panama,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Peru,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Spain,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Uruguay,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Argentina,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,88.0,2023-02-28,0.901,0.589,0.00302,0.0992,98.002
Uruguay,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,88.0,2023-02-28,0.901,0.589,0.00302,0.0992,98.002
Argentina,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,87.0,2023-02-28,0.743,0.831,0.114,0.35,95.975
Guatemala,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,87.0,2023-02-28,0.743,0.831,0.114,0.35,95.975
Spain,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,87.0,2023-02-28,0.743,0.831,0.114,0.35,95.975
Uruguay,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,87.0,2023-02-28,0.743,0.831,0.114,0.35,95.975
Argentina,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,85.0,2023-02-28,0.887,0.234,0.111,0.13,140.02
Colombia,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,85.0,2023-02-28,0.887,0.234,0.111,0.13,140.02
Uruguay,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,85.0,2023-02-28,0.887,0.234,0.111,0.13,140.02
Argentina,6OzUIp8KjuwxJnCWkXp1uL,Besos Moja2,84.0,2023-02-28,0.736,0.727,0.0584,0.0976,94.048
Uruguay,6OzUIp8KjuwxJnCWkXp1uL,Besos Moja2,84.0,2023-02-28,0.736,0.727,0.0584,0.0976,94.048
Argentina,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28,0.914,0.622,0.146,0.0632,130.04
Bolivia,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28,0.914,0.622,0.146,0.0632,130.04
